,sat_uni__nyc_delivery_reliability_weekly,sat_uni__nyc_delivery_deficit_cvar90_pct,sat_uni__montague_flow_reliability_weekly,sat_uni__montague_flow_deficit_cvar90_pct,sat_uni__trenton_flow_reliability_weekly,sat_uni__downstream_flood_days_minor,sat_uni__nyc_storage_p5_pct,sat_multivariate,regret_best__nyc_delivery_reliability_weekly,regret_best__nyc_delivery_deficit_cvar90_pct,regret_best__montague_flow_reliability_weekly,regret_best__montague_flow_deficit_cvar90_pct,regret_best__trenton_flow_reliability_weekly,regret_best__downstream_flood_days_minor,regret_best__nyc_storage_p5_pct,regret_baseline__nyc_delivery_reliability_weekly,regret_baseline__nyc_delivery_deficit_cvar90_pct,regret_baseline__montague_flow_reliability_weekly,regret_baseline__montague_flow_deficit_cvar90_pct,regret_baseline__trenton_flow_reliability_weekly,regret_baseline__downstream_flood_days_minor,regret_baseline__nyc_storage_p5_pct
sat_uni__nyc_delivery_reliability_weekly,1.0,,,,,,,,,,,,,,,,,,,,,
sat_uni__nyc_delivery_deficit_cvar90_pct,,1.0,,,,,,,,,,,,,,,,,,,,
sat_uni__montague_flow_reliability_weekly,,,1.0,,,,,,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.49999999999999994,-0.816496580927726,0.816496580927726,0.816496580927726,0.9999999999999999,0.816496580927726,0.816496580927726,,-0.816496580927726
sat_uni__montague_flow_deficit_cvar90_pct,,,,1.0,,,,,,,,,,,,,,,,,,
sat_uni__trenton_flow_reliability_weekly,,,,,1.0,,,,,,,,,,,,,,,,,
sat_uni__downstream_flood_days_minor,,,,,,1.0,,,,,,,,,,,,,,,,
sat_uni__nyc_storage_p5_pct,,,,,,,1.0,,,,,,,,,,,,,,,
sat_multivariate,,,,,,,,1.0,,,,,,,,,,,,,,
regret_best__nyc_delivery_reliability_weekly,,,0.816496580927726,,,,,,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.816496580927726,-0.33333333333333337,1.0,1.0,0.816496580927726,0.33333333333333337,1.0,,-0.33333333333333337
regret_best__nyc_delivery_deficit_cvar90_pct,,,0.816496580927726,,,,,,0.33333333333333337,1.0,1.0,1.0,1.0,0.0,-1.0,0.33333333333333337,0.33333333333333337,0.816496580927726,1.0,0.33333333333333337,,-1.0
regret_best__montague_flow_reliability_weekly,,,0.816496580927726,,,,,,0.33333333333333337,1.0,1.0,1.0,1.0,0.0,-1.0,0.33333333333333337,0.33333333333333337,0.816496580927726,1.0,0.33333333333333337,,-1.0
regret_best__montague_flow_deficit_cvar90_pct,,,0.816496580927726,,,,,,0.33333333333333337,1.0,1.0,1.0,1.0,0.0,-1.0,0.33333333333333337,0.33333333333333337,0.816496580927726,1.0,0.33333333333333337,,-1.0
regret_best__trenton_flow_reliability_weekly,,,0.816496580927726,,,,,,0.33333333333333337,1.0,1.0,1.0,1.0,0.0,-1.0,0.33333333333333337,0.33333333333333337,0.816496580927726,1.0,0.33333333333333337,,-1.0
regret_best__downstream_flood_days_minor,,,-0.49999999999999994,,,,,,-0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0,-0.816496580927726,-0.816496580927726,-0.49999999999999994,0.0,-0.816496580927726,,0.0
regret_best__nyc_storage_p5_pct,,,-0.816496580927726,,,,,,-0.33333333333333337,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-0.33333333333333337,-0.33333333333333337,-0.816496580927726,-1.0,-0.33333333333333337,,1.0
regret_baseline__nyc_delivery_reliability_weekly,,,0.816496580927726,,,,,,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.816496580927726,-0.33333333333333337,1.0,1.0,0.816496580927726,0.33333333333333337,1.0,,-0.33333333333333337
regret_baseline__nyc_delivery_deficit_cvar90_pct,,,0.816496580927726,,,,,,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.816496580927726,-0.33333333333333337,1.0,1.0,0.816496580927726,0.33333333333333337,1.0,,-0.33333333333333337
regret_baseline__montague_flow_reliability_weekly,,,0.9999999999999999,,,,,,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.49999999999999994,-0.816496580927726,0.816496580927726,0.816496580927726,1.0,0.816496580927726,0.816496580927726,,-0.816496580927726
regret_baseline__montague_flow_deficit_cvar90_pct,,,0.816496580927726,,,,,,0.33333333333333337,1.0,1.0,1.0,1.0,0.0,-1.0,0.33333333333333337,0.33333333333333337,0.816496580927726,1.0,0.33333333333333337,,-1.0
regret_baseline__trenton_flow_reliability_weekly,,,0.816496580927726,,,,,,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,-0.816496580927726,-0.33333333333333337,1.0,1.0,0.816496580927726,0.33333333333333337,1.0,,-0.33333333333333337
regret_baseline__downstream_flood_days_minor,,,,,,,,,,,,,,,,,,,,,1.0,
regret_baseline__nyc_storage_p5_pct,,,-0.816496580927726,,,,,,-0.33333333333333337,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-0.33333333333333337,-0.33333333333333337,-0.816496580927726,-1.0,-0.33333333333333337,,1.0
