config,seed,islands,workers_per_island,total_slots,ranks,nfe_per_island,total_nfe,t_start_epoch,t_end_epoch,wall_seconds,rc,job_id,slug,debug_sim
scale_1x16,1,1,16,16,18,1280,1280,1783601901,1783602390,489,0,19013411,ffmp_obj7_scale_1x16,True
scale_1x16,2,1,16,16,18,1280,1280,1783601900,1783602353,453,0,19013405,ffmp_obj7_scale_1x16,True
scale_1x32,1,1,32,32,34,1280,1280,1783601900,1783602153,253,0,19013412,ffmp_obj7_scale_1x32,True
scale_1x32,2,1,32,32,34,1280,1280,1783601901,1783602146,245,0,19013406,ffmp_obj7_scale_1x32,True
scale_1x64,1,1,64,64,66,1280,1280,1783602105,1783602248,143,0,19013474,ffmp_obj7_scale_1x64,True
scale_1x64,2,1,64,64,66,1280,1280,1783602106,1783602250,144,0,19013470,ffmp_obj7_scale_1x64,True
scale_1x8,1,1,8,8,10,1280,1280,1783601900,1783602736,836,0,19013410,ffmp_obj7_scale_1x8,True
scale_1x8,2,1,8,8,10,1280,1280,1783601901,1783602739,838,0,19013404,ffmp_obj7_scale_1x8,True
scale_2x32,1,2,32,64,67,640,1280,1783602103,1783602251,148,0,19013475,ffmp_obj7_scale_2x32,True
scale_2x32,2,2,32,64,67,640,1280,1783602105,1783602251,146,0,19013471,ffmp_obj7_scale_2x32,True
scale_4x16,1,4,16,64,69,320,1280,1783602106,1783602254,148,0,19013476,ffmp_obj7_scale_4x16,True
scale_4x16,2,4,16,64,69,320,1280,1783602106,1783602252,146,0,19013473,ffmp_obj7_scale_4x16,True
scale_smoke,1,1,4,4,6,80,80,1783558046,1783558046,0,1,18997121,ffmp_obj7_scale_smoke,True
scale_smoke,1,1,4,4,6,80,80,1783559811,1783559822,11,0,18997495,ffmp_obj7_scale_smoke,True
scale_smoke,1,1,4,4,6,80,80,1783560444,1783560541,97,0,18997809,ffmp_obj7_scale_smoke,True
