k,realization_batch,n_ranks_reported,n_warm,warm_median_s,warm_q25_s,warm_q75_s,warm_p90_s,cold_median_s,evals_per_node_hr,su_per_1000_evals,rss_median_mb,rss_max_mb,node_projected_gb,objs_ok_frac,n_distinct_obj_vectors,step_rc,completed,slowdown_vs_k1
1,0,1,9,63.98,63.728,64.181,64.20819999999999,65.9845,56.267583619881215,2274.8444444444444,755.1,755.1,0.73740234375,1.0,1,0,True,1.0
8,0,8,32,64.57300000000001,64.29225000000001,64.906,65.0843,66.43,446.00684496616225,286.99111111111114,689.5,691.0,5.3984375,1.0,3,0,True,1.0092685214129418
16,0,16,32,64.65350000000001,64.39125,65.0055,65.3194,66.54400000000001,890.9030446920892,143.67444444444445,691.2,692.4,10.81875,1.0,2,0,True,1.0105267271022196
32,0,32,64,64.5145,64.19399999999999,65.1575,65.44619999999999,66.562,1785.6450875384603,71.68277777777777,693.9,697.2,21.7875,1.0,3,0,True,1.0083541731791186
48,0,48,96,67.848,67.272,68.21525,68.7695,69.842,2546.869472939512,50.257777777777775,696.2,698.8,32.756249999999994,1.0,2,0,True,1.0604563926226946
64,0,64,128,74.2535,72.51975,74.88925,75.3286,77.1105,3102.8840391362023,41.25194444444445,698.95,701.9,43.86875,1.0,3,0,True,1.160573616755236
96,0,96,576,73.784,65.3825,74.868,75.314,74.564,4683.942318117749,27.327407407407406,704.45,707.8,66.35624999999999,1.0,3,0,True,1.1532353860581432
128,0,128,1152,74.737,74.0265,75.30225,75.8129,78.75800000000001,6165.620776857514,20.760277777777777,710.75,714.1,89.2625,1.0,3,0,True,1.1681306658330728
1,1,1,3,150.786,150.45499999999998,150.89100000000002,150.954,163.182,23.87489554733198,5361.28,502.1,502.1,0.49033203125,1.0,1,0,True,2.3567677399187246
128,1,128,384,182.7055,181.02175,184.61775,189.7702,197.621,2522.0915626513706,50.75152777777778,457.8,461.6,57.7,1.0,1,0,True,2.8556658330728353
1,2,1,3,109.952,109.8945,109.9935,110.0184,116.902,32.741559953434226,3909.4044444444444,552.0,552.0,0.5390625,1.0,1,0,True,1.718537042825883
128,2,128,384,128.62,127.65525,130.4105,132.8001,142.8835,3582.646555745607,35.727777777777774,503.7,507.7,63.4625,1.0,1,0,True,2.010315723663645
1,5,1,3,80.467,80.3355,80.793,80.9886,84.291,44.73883703878609,2861.048888888889,594.6,594.6,0.5806640625,1.0,1,0,True,1.257689903094717
128,5,128,384,93.9145,92.97225,95.2815,96.1575,101.455,4906.590569081452,26.08736111111111,550.0,554.0,69.25,1.0,3,0,True,1.4678727727414818
1,10,1,3,69.105,69.083,69.1865,69.2354,73.37,52.094638593444756,2457.0666666666666,732.5,732.5,0.71533203125,1.0,1,0,True,1.0801031572366366
128,10,128,384,81.3895,80.64675,82.3405,82.7954,86.698,5661.663973854122,22.608194444444443,690.7,694.3,86.7875,1.0,2,0,True,1.2721084713973116
128,16,128,512,81.43,80.43025,82.50150000000001,83.0515,86.7175,5658.848090384378,22.619444444444444,678.25,682.9,85.3625,1.0,3,0,True,1.2727414817130356
