nodes,islands,ranks_per_node,ranks,workers,efficiency,eff_extrapolated,walltime_hr,su
2,2,128,256,253,0.7290940766550522,True,5.6272871040675305,1440.5854986412878
2,4,128,256,251,0.7290940766550522,True,5.672126045135798,1452.0642675547642
2,8,128,256,247,0.7290940766550522,True,5.763982337364718,1475.5794783653678
4,2,128,512,509,0.7290940766550522,True,2.797060191216277,1432.094817902734
4,4,128,512,507,0.7290940766550522,True,2.808093959228965,1437.7441071252301
4,8,128,512,503,0.7290940766550522,True,2.830424726300368,1449.1774598657885
8,2,128,1024,1021,0.7290940766550522,True,1.394420800518203,1427.88689973064
8,4,128,1024,1019,0.7290940766550522,True,1.3971576421286411,1430.6894255397285
8,8,128,1024,1015,0.7290940766550522,True,1.402663682097621,1436.327610467964
16,2,128,2048,2045,0.7290940766550522,True,0.6961875977159341,1425.792200122233
16,4,128,2048,2043,0.7290940766550522,True,0.6968691323196698,1427.1879829906838
16,8,128,2048,2039,0.7290940766550522,True,0.6982362125203949,1429.9877632417688
