objective,K,tau_mean,tau_min,tau_max
nyc_delivery_reliability_weekly,2,,,
nyc_delivery_reliability_weekly,3,,,
nyc_delivery_reliability_weekly,5,1.0,1.0,1.0
nyc_delivery_deficit_cvar90_pct,2,,,
nyc_delivery_deficit_cvar90_pct,3,,,
nyc_delivery_deficit_cvar90_pct,5,1.0,1.0,1.0
montague_flow_reliability_weekly,2,0.8497311128276556,0.7745966692414834,1.0
montague_flow_reliability_weekly,3,0.8497311128276556,0.7745966692414834,1.0
montague_flow_reliability_weekly,5,1.0,1.0,1.0
montague_flow_deficit_cvar90_pct,2,1.0,1.0,1.0
montague_flow_deficit_cvar90_pct,3,1.0,1.0,1.0
montague_flow_deficit_cvar90_pct,5,1.0,1.0,1.0
trenton_flow_reliability_weekly,2,,,
trenton_flow_reliability_weekly,3,,,
trenton_flow_reliability_weekly,5,1.0,1.0,1.0
downstream_flood_days_minor,2,,,
downstream_flood_days_minor,3,,,
downstream_flood_days_minor,5,1.0,1.0,1.0
nyc_storage_p5_pct,2,,,
nyc_storage_p5_pct,3,,,
nyc_storage_p5_pct,5,1.0,1.0,1.0
