objective,direction,n_valid,frac_nan,frac_saturated,min,p5,p25,median,p75,p95,max,iqr,range,baseline,no_gradient
nyc_delivery_reliability_weekly,maximize,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True
nyc_delivery_deficit_cvar90_pct,minimize,3,0.0,0.6666666666666666,3.7603725272792574,4.939416863288756,9.65559420732675,15.550815887374243,23.73249841528739,30.27784443761791,31.91418094320054,14.076904207960641,28.153808415921283,6.94755768067394e-11,False
nyc_delivery_deficit_max_pct,minimize,3,0.0,0.6666666666666666,3.7603725272792574,4.939416863288756,9.65559420732675,15.550815887374242,23.732498415287388,30.2778444376179,31.91418094320053,14.076904207960638,28.153808415921272,7.58717533244635e-11,False
montague_flow_reliability_weekly,maximize,3,0.0,1.0,0.8285714285714286,0.8457142857142858,0.9142857142857144,1.0,1.0,1.0,1.0,0.08571428571428563,0.17142857142857137,1.0,False
montague_flow_deficit_cvar90_pct,minimize,3,0.0,1.0,0.0,0.0,0.0,0.0,10.747277245536837,19.345099041966307,21.494554491073675,10.747277245536837,21.494554491073675,0.0,False
montague_flow_deficit_max_pct,minimize,3,0.0,1.0,0.0,0.0,0.0,0.0,11.511693359563694,20.721048047214648,23.023386719127387,11.511693359563694,23.023386719127387,0.0,False
trenton_flow_reliability_weekly,maximize,3,0.0,0.6666666666666666,0.9714285714285714,0.9723809523809523,0.976190476190476,0.9809523809523808,0.9904761904761904,0.998095238095238,1.0,0.014285714285714346,0.02857142857142858,0.9714285714285714,False
trenton_flow_deficit_cvar90_pct,minimize,3,0.0,0.6666666666666666,0.0,0.12223595521820446,0.6111797760910223,1.2223595521820445,3.750578732987278,5.773154077631464,6.278797913792511,3.1393989568962555,6.278797913792511,1.3579956914126967,False
salt_front_intrusion_max_rm,minimize,0,1.0,,,,,,,,,,,,True
nj_delivery_reliability_weekly,maximize,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True
downstream_flood_days_minor,minimize,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True
downstream_flood_days_action,minimize,3,0.0,1.0,1.0,1.0,1.0,1.0,1.5,1.9,2.0,0.5,1.0,2.0,False
downstream_flood_days_major,minimize,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
nyc_storage_p5_pct,maximize,3,0.0,0.6666666666666666,42.48812515196263,44.530585438060804,52.70042658245351,62.91272801294439,65.6775028407715,67.88932270303317,68.44227766859859,12.977076258317986,25.954152516635965,59.882765168118425,False
nyc_storage_min_pct,maximize,3,0.0,0.6666666666666666,40.75512803165416,42.74760437611154,50.717509753941044,60.67989147622793,63.49583490990764,65.74858965685142,66.31177834358736,12.778325155966598,25.556650311933204,58.199147466637406,False
lordville_temp_exceedance_days,minimize,0,1.0,,,,,,,,,,,,True
