,nyc_delivery_deficit_cvar90_pct,nyc_delivery_deficit_max_pct,montague_flow_reliability_weekly,montague_flow_deficit_cvar90_pct,montague_flow_deficit_max_pct,trenton_flow_reliability_weekly,trenton_flow_deficit_cvar90_pct,downstream_flood_days_action,nyc_storage_p5_pct,nyc_storage_min_pct
nyc_delivery_deficit_cvar90_pct,1.0,1.0,0.8660254037844387,-0.8660254037844387,-0.8660254037844387,0.5,-0.5,-0.8660254037844387,-0.5,-0.5
nyc_delivery_deficit_max_pct,1.0,1.0,0.8660254037844387,-0.8660254037844387,-0.8660254037844387,0.5,-0.5,-0.8660254037844387,-0.5,-0.5
montague_flow_reliability_weekly,0.8660254037844387,0.8660254037844387,1.0,-1.0,-1.0,0.8660254037844387,-0.8660254037844387,-1.0,-0.8660254037844387,-0.8660254037844387
montague_flow_deficit_cvar90_pct,-0.8660254037844387,-0.8660254037844387,-1.0,1.0,1.0,-0.8660254037844387,0.8660254037844387,1.0,0.8660254037844387,0.8660254037844387
montague_flow_deficit_max_pct,-0.8660254037844387,-0.8660254037844387,-1.0,1.0,1.0,-0.8660254037844387,0.8660254037844387,1.0,0.8660254037844387,0.8660254037844387
trenton_flow_reliability_weekly,0.5,0.5,0.8660254037844387,-0.8660254037844387,-0.8660254037844387,1.0,-1.0,-0.8660254037844387,-1.0,-1.0
trenton_flow_deficit_cvar90_pct,-0.5,-0.5,-0.8660254037844387,0.8660254037844387,0.8660254037844387,-1.0,1.0,0.8660254037844387,1.0,1.0
downstream_flood_days_action,-0.8660254037844387,-0.8660254037844387,-1.0,1.0,1.0,-0.8660254037844387,0.8660254037844387,1.0,0.8660254037844387,0.8660254037844387
nyc_storage_p5_pct,-0.5,-0.5,-0.8660254037844387,0.8660254037844387,0.8660254037844387,-1.0,1.0,0.8660254037844387,1.0,1.0
nyc_storage_min_pct,-0.5,-0.5,-0.8660254037844387,0.8660254037844387,0.8660254037844387,-1.0,1.0,0.8660254037844387,1.0,1.0
